Book Title	Author	Edition	Product Type	Copyright Year	Copyright Holder	Print ISBN	Electronic ISBN	Language	Language Collection	eBook Package	English Package Name	German Package Name	Series Print ISSN	Series Electronic ISSN	Series Title	Volume Number	DOI URL	OpenURL	Subject Classification	Publisher	Imprint	epub	pdf
Werbe- und Konsumentenpsychologie	Georg Felser	4. Aufl. 2015	German textbook	2015	Springer-Verlag Berlin Heidelberg	978-3-642-37644-3	978-3-642-37645-0	DE	German	40904	Psychology	Psychologie					http://doi.org/10.1007/978-3-642-37645-0	http://link.springer.com/openurl?genre=book&isbn=978-3-642-37645-0	Psychology; Industrial and Organizational Psychology; Marketing; Organizational Studies, Economic Sociology; Cognitive Psychology; Printing and Publishing; Creativity and Arts Education	Springer Berlin Heidelberg	Springer	https://link.springer.com/download/epub/10.1007%2F978-3-642-37645-0.epub	https://link.springer.com/content/pdf/10.1007%2F978-3-642-37645-0.pdf
Allgemeine und Spezielle Pathologie	Ursus-Nikolaus Riede, Martin Werner	2. Aufl. 2017	German textbook	2017	Springer-Verlag GmbH Deutschland	978-3-662-48724-2	978-3-662-48725-9	DE	German	11773	Medicine	Medizin	0937-7433	2512-5214	Springer-Lehrbuch		http://doi.org/10.1007/978-3-662-48725-9	http://link.springer.com/openurl?genre=book&isbn=978-3-662-48725-9	Medicine & Public Health; Pathology	Springer Berlin Heidelberg	Springer		https://link.springer.com/content/pdf/10.1007%2F978-3-662-48725-9.pdf
Statistik	Ludwig Fahrmeir, Christian Heumann, Rita Künstler, Iris Pigeot, Gerhard Tutz	8. Aufl. 2016	German textbook	2016	Springer-Verlag Berlin Heidelberg	978-3-662-50371-3	978-3-662-50372-0	DE	German	11777	Life Science and Basic Disciplines	Natur- und Basiswissenschaften	0937-7433	2512-5214	Springer-Lehrbuch		http://doi.org/10.1007/978-3-662-50372-0	http://link.springer.com/openurl?genre=book&isbn=978-3-662-50372-0	Statistics; Statistical Theory and Methods; Statistics for Business/Economics/Mathematical Finance/Insurance; Economic Theory/Quantitative Economics/Mathematical Methods	Springer Berlin Heidelberg	Springer Spektrum		https://link.springer.com/content/pdf/10.1007%2F978-3-662-50372-0.pdf
Psychologische Diagnostik	Lothar Schmidt-Atzert, Manfred Amelang	5. Aufl. 2012	German textbook	2012	Springer-Verlag GmbH Deutschland, ein Teil von Springer Nature	978-3-642-17000-3	978-3-642-17001-0	DE	German	11776	Humanities and Social Sciences	Geistes- und Sozialwissenschaften	0937-7433	2512-5214	Springer-Lehrbuch		http://doi.org/10.1007/978-3-642-17001-0	http://link.springer.com/openurl?genre=book&isbn=978-3-642-17001-0	Psychology; Psychological Methods/Evaluation; Psychometrics; Clinical Psychology; Industrial and Organizational Psychology; Pedagogic Psychology; Developmental Psychology	Springer Berlin Heidelberg	Springer		https://link.springer.com/content/pdf/10.1007%2F978-3-642-17001-0.pdf
Höhere Mathematik in Rezepten	Christian Karpfinger	3. Aufl. 2017	German textbook	2017	Springer-Verlag GmbH Deutschland	978-3-662-54808-0	978-3-662-54809-7	DE	German	11777	Life Science and Basic Disciplines	Natur- und Basiswissenschaften					http://doi.org/10.1007/978-3-662-54809-7	http://link.springer.com/openurl?genre=book&isbn=978-3-662-54809-7	Mathematics; Linear and Multilinear Algebras, Matrix Theory; Ordinary Differential Equations; Partial Differential Equations	Springer Berlin Heidelberg	Springer Spektrum	https://link.springer.com/download/epub/10.1007%2F978-3-662-54809-7.epub	https://link.springer.com/content/pdf/10.1007%2F978-3-662-54809-7.pdf
Pädagogische Psychologie	Elke Wild, Jens Möller	2. Aufl. 2015	German textbook	2015	Springer-Verlag GmbH Deutschland	978-3-642-41290-5	978-3-642-41291-2	DE	German	40904	Psychology	Psychologie	0937-7433	2512-5214	Springer-Lehrbuch		http://doi.org/10.1007/978-3-642-41291-2	http://link.springer.com/openurl?genre=book&isbn=978-3-642-41291-2	Psychology; Pedagogic Psychology; Developmental Psychology; Child and School Psychology; Psychotherapy and Counseling	Springer Berlin Heidelberg	Springer	https://link.springer.com/download/epub/10.1007%2F978-3-642-41291-2.epub	https://link.springer.com/content/pdf/10.1007%2F978-3-642-41291-2.pdf
Experimentalphysik 3	Wolfgang Demtröder	5. Aufl. 2016	German textbook	2016	Springer-Verlag Berlin Heidelberg	978-3-662-49093-8	978-3-662-49094-5	DE	German	11777	Life Science and Basic Disciplines	Natur- und Basiswissenschaften	0937-7433	2512-5214	Springer-Lehrbuch		http://doi.org/10.1007/978-3-662-49094-5	http://link.springer.com/openurl?genre=book&isbn=978-3-662-49094-5	Physics; Atomic, Molecular, Optical and Plasma Physics; Solid State Physics	Springer Berlin Heidelberg	Springer Spektrum	https://link.springer.com/download/epub/10.1007%2F978-3-662-49094-5.epub	https://link.springer.com/content/pdf/10.1007%2F978-3-662-49094-5.pdf
Klinische Psychologie & Psychotherapie (Lehrbuch mit Online-Materialien)	Hans-Ulrich Wittchen, Jürgen Hoyer	2. Aufl. 2011	German textbook	2011	Springer-Verlag Berlin Heidelberg	978-3-642-13017-5	978-3-642-13018-2	DE	German	11776	Humanities and Social Sciences	Geistes- und Sozialwissenschaften	0937-7433	2512-5214	Springer-Lehrbuch		http://doi.org/10.1007/978-3-642-13018-2	http://link.springer.com/openurl?genre=book&isbn=978-3-642-13018-2	Psychology; Clinical Psychology; Psychotherapy; Psychiatry; Health Psychology	Springer Berlin Heidelberg	Springer		https://link.springer.com/content/pdf/10.1007%2F978-3-642-13018-2.pdf
Löffler/Petrides Biochemie  und Pathobiochemie	Peter C. Heinrich, Matthias Müller, Lutz Graeve	9. Aufl. 2014	German textbook	2014	Springer Berlin Heidelberg	978-3-642-17971-6	978-3-642-17972-3	DE	German	11773	Medicine	Medizin	0937-7433	2512-5214	Springer-Lehrbuch		http://doi.org/10.1007/978-3-642-17972-3	http://link.springer.com/openurl?genre=book&isbn=978-3-642-17972-3	Medicine & Public Health; Medical Biochemistry; Biochemistry, general; Cell Biology; Human Genetics; Molecular Medicine	Springer Berlin Heidelberg	Springer		https://link.springer.com/content/pdf/10.1007%2F978-3-642-17972-3.pdf
Biologische Psychologie	Niels Birbaumer, Robert F. Schmidt	7., vollst. überarb. u. ergänzte Aufl. 2010	German textbook	2010	Springer-Verlag Berlin Heidelberg	978-3-540-95937-3	978-3-540-95938-0	DE	German	11776	Humanities and Social Sciences	Geistes- und Sozialwissenschaften	0937-7433	2512-5214	Springer-Lehrbuch		http://doi.org/10.1007/978-3-540-95938-0	http://link.springer.com/openurl?genre=book&isbn=978-3-540-95938-0	Psychology; Biological Psychology; Neuropsychology	Springer Berlin Heidelberg	Springer		https://link.springer.com/content/pdf/10.1007%2F978-3-540-95938-0.pdf
Integrierte Materialwirtschaft, Logistik und Beschaffung	Helmut Wannenwetsch	5., neu bearb. Aufl. 2014	German textbook	2014	Springer-Verlag Berlin Heidelberg	978-3-642-45022-8	978-3-642-45023-5	DE	German	11774	Computer Science & Engineering	Technik & Informatik	0937-7433	2512-5214	Springer-Lehrbuch		http://doi.org/10.1007/978-3-642-45023-5	http://link.springer.com/openurl?genre=book&isbn=978-3-642-45023-5	Engineering; Engineering Economics, Organization, Logistics, Marketing; Management; Operations Management; Control, Robotics, Mechatronics	Springer Berlin Heidelberg	Springer Vieweg		https://link.springer.com/content/pdf/10.1007%2F978-3-642-45023-5.pdf
Methoden der vergleichenden Politik- und Sozialwissenschaft	Susanne Pickel, Gert Pickel, Hans-Joachim Lauth, Detlef Jahn	2009	German textbook	2009	VS Verlag für Sozialwissenschaften | Springer Fachmedien Wiesbaden GmbH, Wiesbaden	978-3-531-16194-5	978-3-531-91826-6	DE	German	11776	Humanities and Social Sciences	Geistes- und Sozialwissenschaften					http://doi.org/10.1007/978-3-531-91826-6	http://link.springer.com/openurl?genre=book&isbn=978-3-531-91826-6	Political Science and International Relations; Comparative Politics; Political Science	VS Verlag für Sozialwissenschaften	VS Verlag für Sozialwissenschaften		https://link.springer.com/content/pdf/10.1007%2F978-3-531-91826-6.pdf
Roloff/Matek Maschinenelemente	Herbert Wittel, Dieter Muhs, Dieter Jannasch, Joachim Voßiek	22. Aufl. 2015	German textbook	2015	Springer Fachmedien Wiesbaden	978-3-658-09081-4	978-3-658-09082-1	DE	German	11774	Computer Science & Engineering	Technik & Informatik					http://doi.org/10.1007/978-3-658-09082-1	http://link.springer.com/openurl?genre=book&isbn=978-3-658-09082-1	Engineering; Machinery and Machine Elements; Engineering Design	Springer Fachmedien Wiesbaden	Springer Vieweg		https://link.springer.com/content/pdf/10.1007%2F978-3-658-09082-1.pdf
Kultur. Theorien der Gegenwart	Stephan Moebius, Dirk Quadflieg	2. Aufl. 2011	German textbook	2011	VS Verlag für Sozialwissenschaften | Springer Fachmedien Wiesbaden GmbH, Wiesbaden	978-3-531-16775-6	978-3-531-92056-6	DE	German	11776	Humanities and Social Sciences	Geistes- und Sozialwissenschaften					http://doi.org/10.1007/978-3-531-92056-6	http://link.springer.com/openurl?genre=book&isbn=978-3-531-92056-6	Social Sciences; Knowledge - Discourse; Sociology, general; Political Science; Media Research; Social Sciences, general	VS Verlag für Sozialwissenschaften	VS Verlag für Sozialwissenschaften		https://link.springer.com/content/pdf/10.1007%2F978-3-531-92056-6.pdf
Theoretische Physik	Matthias Bartelmann, Björn Feuerbacher, Timm Krüger, Dieter Lüst, Anton Rebhan, Andreas Wipf	2015	German textbook	2015	Springer-Verlag Berlin Heidelberg	978-3-642-54617-4	978-3-642-54618-1	DE	German	11777	Life Science and Basic Disciplines	Natur- und Basiswissenschaften					http://doi.org/10.1007/978-3-642-54618-1	http://link.springer.com/openurl?genre=book&isbn=978-3-642-54618-1	Physics; Physics, general; Classical Mechanics; Classical Electrodynamics; Quantum Physics; Thermodynamics; Theoretical, Mathematical and Computational Physics	Springer Berlin Heidelberg	Springer Spektrum	https://link.springer.com/download/epub/10.1007%2F978-3-642-54618-1.epub	https://link.springer.com/content/pdf/10.1007%2F978-3-642-54618-1.pdf
Fragebogen	Rolf Porst	4., erweitert Aufl. 2014	German textbook	2014	Springer Fachmedien Wiesbaden	978-3-658-02117-7	978-3-658-02118-4	DE	German	11776	Humanities and Social Sciences	Geistes- und Sozialwissenschaften	2512-5362	2512-5370	Studienskripten zur Soziologie		http://doi.org/10.1007/978-3-658-02118-4	http://link.springer.com/openurl?genre=book&isbn=978-3-658-02118-4	Social Sciences; Methodology of the Social Sciences; Sociology, general; Political Science; Psychological Methods/Evaluation; Communication Studies	Springer Fachmedien Wiesbaden	Springer VS		https://link.springer.com/content/pdf/10.1007%2F978-3-658-02118-4.pdf
Forschungsmethoden in Psychologie und Sozialwissenschaften für Bachelor	Walter Hussy, Margrit Schreier, Gerald Echterhoff	2. Aufl. 2013	German textbook	2013	Springer-Verlag Berlin Heidelberg	978-3-642-34361-2	978-3-642-34362-9	DE	German	11776	Humanities and Social Sciences	Geistes- und Sozialwissenschaften	0937-7433	2512-5214	Springer-Lehrbuch		http://doi.org/10.1007/978-3-642-34362-9	http://link.springer.com/openurl?genre=book&isbn=978-3-642-34362-9	Psychology; Psychological Methods/Evaluation; Methodology of the Social Sciences; Psychometrics; Statistics, general	Springer Berlin Heidelberg	Springer		https://link.springer.com/content/pdf/10.1007%2F978-3-642-34362-9.pdf
Pahl/Beitz Konstruktionslehre	Jörg Feldhusen, Karl-Heinrich Grote	8. Aufl. 2013	Undergraduate textbook	2013	Springer-Verlag Berlin Heidelberg	978-3-642-29568-3	978-3-642-29569-0	DE	German	11774	Computer Science & Engineering	Technik & Informatik					http://doi.org/10.1007/978-3-642-29569-0	http://link.springer.com/openurl?genre=book&isbn=978-3-642-29569-0	Engineering; Engineering Design; Computational Intelligence	Springer Berlin Heidelberg	Springer Vieweg	https://link.springer.com/download/epub/10.1007%2F978-3-642-29569-0.epub	https://link.springer.com/content/pdf/10.1007%2F978-3-642-29569-0.pdf
